@
Linux 4.14.0-115.el7a.aarch64 (localhost.localdomain) 	2019年03月12日 	_aarch64_	(64 CPU)

01时06分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分08秒   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   16   16.00    0.00   14.00    0.00    0.00    5.00    0.00    0.00    0.00   65.00
01时06分08秒   17   16.67    0.00   12.50    0.00    0.00    2.08    0.00    0.00    0.00   68.75
01时06分08秒   18   22.22    0.00   19.19    0.00    0.00    5.05    0.00    0.00    0.00   53.54
01时06分08秒   19   14.43    0.00   11.34    0.00    0.00    2.06    0.00    0.00    0.00   72.16
01时06分08秒   20   47.92    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   45.83
01时06分08秒   21   12.36    0.00    8.99    0.00    0.00    1.12    0.00    0.00    0.00   77.53
01时06分08秒   22   13.00    0.00   10.00    0.00    0.00    1.00    0.00    0.00    0.00   76.00
01时06分08秒   23   18.95    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   77.89
01时06分08秒   24   22.45    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   69.39
01时06分08秒   25   15.22    0.00    9.78    0.00    0.00    0.00    0.00    0.00    0.00   75.00
01时06分08秒   26   16.67    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00   75.49
01时06分08秒   27   70.71    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   26.26
01时06分08秒   28   16.48    0.00   14.29    0.00    0.00    1.10    0.00    0.00    0.00   68.13
01时06分08秒   29   20.83    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   75.00
01时06分08秒   30    6.45    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   89.25
01时06分08秒   31   16.67    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   78.12
01时06分08秒   32    6.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
01时06分08秒   33   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
01时06分08秒   34    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01时06分08秒   35   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
01时06分08秒   36   14.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
01时06分08秒   37   10.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.11
01时06分08秒   38    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01时06分08秒   39   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01时06分08秒   40    5.26    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01时06分08秒   41   30.85    0.00   35.11    0.00    0.00    2.13    0.00    0.00    0.00   31.91
01时06分08秒   42   15.79    0.00   11.58    0.00    0.00    2.11    0.00    0.00    0.00   70.53
01时06分08秒   43    5.88    0.00    5.88    0.00    0.00    0.98    0.00    0.00    0.00   87.25
01时06分08秒   44   16.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   83.67
01时06分08秒   45   11.34    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   86.60
01时06分08秒   46    7.22    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01时06分08秒   47    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01时06分08秒   48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分08秒   62    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分08秒   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01时06分08秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分09秒  all    3.99    0.00    3.68    0.00    0.00    0.56    0.00    0.00    0.00   91.76
01时06分09秒    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
